@type,accessLevel,bureauCode,dataQuality,description,identifier,issued,keyword,license,modified,programCode,theme,title,landingPage,accrualPeriodicity,language,temporal,describedBy,references,isPartOf,describedByType,systemOfRecords,rights,conformsTo,contactPoint_fn,contactPoint_hasEmail,publisher_@type,publisher_name,distribution_@type,distribution_downloadURL,distribution_mediaType,distribution_format,distribution_description,distribution_title,distribution_accessURL,distribution_accessURL_format,link_status_20171202,url
dcat:Dataset,public,029:00,TRUE,"Veteran Population Model 2016 (VetPop2016) projects Veteran population by different characteristics from 2015 to 2015.  The characteristics are: age, gender, geographic areas (county, congressional district, state, and nation), period of service, branch of service, rank, and race/ethnicity.  VetPop is updated every two to three years to incorporate the new Veterans data and revised assumptions about the future trends.",56984fdf-7106-4767-995c-e20c45f7aaba,2017-08-15,veteran population,https://creativecommons.org/publicdomain/zero/1.0/,2017-08-15,029:086,,VetPop2016,,,,,,,,,,,,NCVAS Mailbox,mailto:vancvas@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,xlsx,,States Age/Gender,https://www1.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/6L_VetPop2016_State.xlsx,xlsx,"Could not resolve host: www1.va.gov
",https://www.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/6L_VetPop2016_State.xlsx
dcat:Dataset,public,029:00,TRUE,"Veteran Population Model 2016 (VetPop2016) projects Veteran population by different characteristics from 2015 to 2015.  The characteristics are: age, gender, geographic areas (county, congressional district, state, and nation), period of service, branch of service, rank, and race/ethnicity.  VetPop is updated every two to three years to incorporate the new Veterans data and revised assumptions about the future trends.",56984fdf-7106-4767-995c-e20c45f7aaba,2017-08-15,veteran population,https://creativecommons.org/publicdomain/zero/1.0/,2017-08-15,029:086,,VetPop2016,,,,,,,,,,,,NCVAS Mailbox,mailto:vancvas@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,xlsx,,States Period Served,https://www1.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/7L_VetPop2016_POS_State.xlsx,xlsx,"Could not resolve host: www1.va.gov
",https://www.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/7L_VetPop2016_POS_State.xlsx
dcat:Dataset,public,029:00,TRUE,"Veteran Population Model 2016 (VetPop2016) projects Veteran population by different characteristics from 2015 to 2015.  The characteristics are: age, gender, geographic areas (county, congressional district, state, and nation), period of service, branch of service, rank, and race/ethnicity.  VetPop is updated every two to three years to incorporate the new Veterans data and revised assumptions about the future trends.",56984fdf-7106-4767-995c-e20c45f7aaba,2017-08-15,veteran population,https://creativecommons.org/publicdomain/zero/1.0/,2017-08-15,029:086,,VetPop2016,,,,,,,,,,,,NCVAS Mailbox,mailto:vancvas@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,xlsx,,States Race/Ethnicity,https://www1.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/8L_VP2016_Race_Ethnicity_State.xlsx,xlsx,"Could not resolve host: www1.va.gov
",https://www.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/8L_VP2016_Race_Ethnicity_State.xlsx
dcat:Dataset,public,029:00,TRUE,"Veteran Population Model 2016 (VetPop2016) projects Veteran population by different characteristics from 2015 to 2015.  The characteristics are: age, gender, geographic areas (county, congressional district, state, and nation), period of service, branch of service, rank, and race/ethnicity.  VetPop is updated every two to three years to incorporate the new Veterans data and revised assumptions about the future trends.",56984fdf-7106-4767-995c-e20c45f7aaba,2017-08-15,veteran population,https://creativecommons.org/publicdomain/zero/1.0/,2017-08-15,029:086,,VetPop2016,,,,,,,,,,,,NCVAS Mailbox,mailto:vancvas@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,xlsx,,Counties,https://www1.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/9L_VetPop2016_County.xlsx,xlsx,"Could not resolve host: www1.va.gov
",https://www.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/9L_VetPop2016_County.xlsx
dcat:Dataset,public,029:00,TRUE,"Veteran Population Model 2016 (VetPop2016) projects Veteran population by different characteristics from 2015 to 2015.  The characteristics are: age, gender, geographic areas (county, congressional district, state, and nation), period of service, branch of service, rank, and race/ethnicity.  VetPop is updated every two to three years to incorporate the new Veterans data and revised assumptions about the future trends.",56984fdf-7106-4767-995c-e20c45f7aaba,2017-08-15,veteran population,https://creativecommons.org/publicdomain/zero/1.0/,2017-08-15,029:086,,VetPop2016,,,,,,,,,,,,NCVAS Mailbox,mailto:vancvas@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,xlsx,,Congressional Districts,https://www1.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/10L_VetPop2016_114th_Congress.xlsx,xlsx,"Could not resolve host: www1.va.gov
",https://www.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/10L_VetPop2016_114th_Congress.xlsx
dcat:Dataset,public,029:00,TRUE,"Veteran Population Model 2016 (VetPop2016) projects Veteran population by different characteristics from 2015 to 2015.  The characteristics are: age, gender, geographic areas (county, congressional district, state, and nation), period of service, branch of service, rank, and race/ethnicity.  VetPop is updated every two to three years to incorporate the new Veterans data and revised assumptions about the future trends.",56984fdf-7106-4767-995c-e20c45f7aaba,2017-08-15,veteran population,https://creativecommons.org/publicdomain/zero/1.0/,2017-08-15,029:086,,VetPop2016,,,,,,,,,,,,NCVAS Mailbox,mailto:vancvas@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,xlsx,,Veterans Integrated Service Networks,https://www1.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/11L_VetPop2016_VISN.xlsx,xlsx,"Could not resolve host: www1.va.gov
",https://www.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/11L_VetPop2016_VISN.xlsx
dcat:Dataset,public,029:00,,"This reports the activities of the Veterans Administration for the fiscal year ending September 30, 1980.",VA-OEI-OEI-144,1980-09-30,annual report; veterans,https://creativecommons.org/publicdomain/zero/1.0/,1980-09-30,029:086,Demographics,1980 Annual Report,https://www.va.gov/vetdata/,,,,,,,,,,,Tom Garin,mailto:Tom.Garin@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,pdf,,Annual Report:  1980,https://www.va.gov/vetdata/docs/FY1980.pdf,pdf,Success: (200) OK,https://www.va.gov/vetdata/docs/FY1980.pdf
dcat:Dataset,public,029:00,TRUE,2000 VA Performance and Accountability Report.,VA-OM-OM-019,2017-07-26,accountability; performance; report,https://creativecommons.org/publicdomain/zero/1.0/,2014-02-20,029:084,Financial,2000 VA Performance and Accountability Report,https://www.va.gov/budget/report/,R/P1Y,en-US,2000-01-01T00:00:00Z/2000-12-31T00:00:00Z,,,,,,,,David Zlowe,mailto:David.Zlowe@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,zip,,zip,https://www.va.gov/budget/docs/archive/FY-2000_VA-PerformanceAccountabilityReport.zip,zip,Success: (200) OK,https://www.va.gov/budget/docs/archive/FY-2000_VA-PerformanceAccountabilityReport.zip
dcat:Dataset,public,029:00,TRUE,The 2001 National Survey of Veterans (NSV) is the fifth in a series of comprehensivenationwide surveys designed to help the Department of Veterans Affairs (VA) plan its future programsand services for veterans. The information gathered through these surveys will help VA to identify theneeds of veterans and then allocate resources in ways that will ensure these needs can be met. It also provides a snapshot profile of the veteranpopulation. Data collected through the NSV enables VA to: follow changing trends in the veteranpopulation; compare characteristics of veterans who use VA services with those of veterans who do not;study VAï¿½s role in the delivery of all benefits that veterans receive; and update information about veteransto help the Department develop its policies.,VA-OEI-OEI-052,2017-07-26,survey; veterans,https://creativecommons.org/publicdomain/zero/1.0/,2001-12-31,029:086,Data on Veterans,2001 National Survey of Veterans (NSV),https://www.va.gov/vetdata/Surveys.asp,,en-US,2001-02-12T00:00:00Z/2001-11-12T00:00:00Z,,,,,,,,Tom Garin,mailto:tom.garin@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,pdf,,pdf,https://www.va.gov/vetdata/docs/SurveysAndStudies/NSV_Final_Report.pdf,pdf,Success: (200) OK,https://www.va.gov/vetdata/docs/SurveysAndStudies/NSV_Final_Report.pdf
dcat:Dataset,public,029:00,TRUE,2001 VA Performance and Accountability Report.,VA-OM-OM-018,2017-07-26,accountability; performance; report,https://creativecommons.org/publicdomain/zero/1.0/,2014-02-20,029:084,Financial,2001 VA Performance and Accountability Report,https://www.va.gov/budget/report/,R/P1Y,en-US,2001-01-01T00:00:00Z/2001-12-31T00:00:00Z,,,,,,,,David Zlowe,mailto:David.Zlowe@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,zip,,zip,https://www.va.gov/budget/docs/archive/FY-2001_VA-PerformanceAccountabilityReport.zip,zip,Success: (200) OK,https://www.va.gov/budget/docs/archive/FY-2001_VA-PerformanceAccountabilityReport.zip
dcat:Dataset,public,029:00,TRUE,2002 VA Performance and Accountability Report.,VA-OM-OM-017,2017-07-26,accountability; performance; report,https://creativecommons.org/publicdomain/zero/1.0/,2014-02-20,029:084,Financial,2002 VA Performance and Accountability Report,https://www.va.gov/budget/report/,R/P1Y,en-US,2002-01-01T00:00:00Z/2002-12-31T00:00:00Z,,,,,,,,David Zlowe,mailto:David.Zlowe@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,zip,,zip,https://www.va.gov/budget/docs/archive/FY-2002_VA-PerformanceAccountabilityReport.zip,zip,Success: (200) OK,https://www.va.gov/budget/docs/archive/FY-2002_VA-PerformanceAccountabilityReport.zip
dcat:Dataset,public,029:00,TRUE,2003 VA Performance and Accountability Report.,VA-OM-OM-016,2017-07-26,accountability; performance; report,https://creativecommons.org/publicdomain/zero/1.0/,2014-02-20,029:084,Financial,2003 VA Performance and Accountability Report,https://www.va.gov/budget/report/,R/P1Y,en-US,2003-01-01T00:00:00Z/2003-12-31T00:00:00Z,,,,,,,,David Zlowe,mailto:David.Zlowe@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,zip,,zip,https://www.va.gov/budget/docs/archive/FY-2003_VA-PerformanceAccountabilityReport.zip,zip,Success: (200) OK,https://www.va.gov/budget/docs/archive/FY-2003_VA-PerformanceAccountabilityReport.zip
dcat:Dataset,public,029:00,TRUE,2004 VA Performance and Accountability Report.,VA-OM-OM-015,2017-07-26,accountability; performance; report,https://creativecommons.org/publicdomain/zero/1.0/,2014-02-20,029:084,Financial,2004 VA Performance and Accountability Report,https://www.va.gov/budget/report/,R/P1Y,en-US,2004-01-01T00:00:00Z/2004-12-31T00:00:00Z,,,,,,,,David Zlowe,mailto:David.Zlowe@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,zip,,zip,https://www.va.gov/budget/docs/archive/FY-2004_VA-PerformanceAccountabilityReport.zip,zip,Success: (200) OK,https://www.va.gov/budget/docs/archive/FY-2004_VA-PerformanceAccountabilityReport.zip
dcat:Dataset,public,029:00,TRUE,2005 VA Performance and Accountability Report.,VA-OM-OM-014,2017-07-26,accountability; performance; report,https://creativecommons.org/publicdomain/zero/1.0/,2014-02-20,029:084,Financial,2005 VA Performance and Accountability Report,https://www.va.gov/budget/report/,R/P1Y,en-US,2005-01-01T00:00:00Z/2005-12-31T00:00:00Z,,,,,,,,David Zlowe,mailto:David.Zlowe@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,zip,,zip,https://www.va.gov/budget/docs/archive/FY-2005_VA-PerformanceAccountabilityReport.zip,zip,Success: (200) OK,https://www.va.gov/budget/docs/archive/FY-2005_VA-PerformanceAccountabilityReport.zip
dcat:Dataset,public,029:00,TRUE,2006 VA Performance and Accountability Report.,VA-OM-OM-013,2017-07-26,accountability; performance; report,https://creativecommons.org/publicdomain/zero/1.0/,2014-02-20,029:084,Financial,2006 VA Performance and Accountability Report,https://www.va.gov/budget/report/,R/P1Y,en-US,2006-01-01T00:00:00Z/2006-12-31T00:00:00Z,,,,,,,,David Zlowe,mailto:David.Zlowe@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,zip,,zip,https://www.va.gov/budget/docs/archive/FY-2006_VA-PerformanceAccountabilityReport.zip,zip,Success: (200) OK,https://www.va.gov/budget/docs/archive/FY-2006_VA-PerformanceAccountabilityReport.zip
dcat:Dataset,public,029:00,TRUE,2007 VA Performance and Accountability Report.,VA-OM-OM-011,2017-07-26,accountability; performance; report,https://creativecommons.org/publicdomain/zero/1.0/,2014-02-20,029:084,Financial,2007 VA Performance and Accountability Report,https://www.va.gov/budget/report/,R/P1Y,en-US,2007-01-01T00:00:00Z/2007-12-31T00:00:00Z,,,,,,,,David Zlowe,mailto:David.Zlowe@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,zip,,zip,https://www.va.gov/budget/docs/archive/FY-2007_VA-PerformanceAccountabilityReport.zip,zip,Success: (200) OK,https://www.va.gov/budget/docs/archive/FY-2007_VA-PerformanceAccountabilityReport.zip
dcat:Dataset,public,029:00,TRUE,2007 VA Performance and Accountability Report Highlights.,VA-OM-OM-012,2017-07-26,accountability; highlights; performance; report,https://creativecommons.org/publicdomain/zero/1.0/,2014-02-20,029:084,Financial,2007 VA Performance and Accountability Report Highlights,https://www.va.gov/budget/report/,R/P1Y,en-US,2007-01-01T00:00:00Z/2007-12-31T00:00:00Z,,,,,,,,David Zlowe,mailto:David.Zlowe@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,pdf,,pdf,https://www.va.gov/budget/docs/archive/FY-2007_VA-PerformanceAccountabilityHighlights.pdf,pdf,Success: (200) OK,https://www.va.gov/budget/docs/archive/FY-2007_VA-PerformanceAccountabilityHighlights.pdf
dcat:Dataset,public,029:00,TRUE,"The 2007 Veterans Employability Research Survey (VERS) was conducted to determine the factors that impact veterans&#039; employability resulting from participation in the VR&amp;E Program. The study consists of a nationally representative survey of veterans who have applied to the VR&amp;E Program, but who discontinued the program at various points as well as a comparison group of veterans who have completed the program.",VA-OEI-OEI-001,2017-07-26,employment; veteran; vocational rehabilitation,https://creativecommons.org/publicdomain/zero/1.0/,2008-02-08,029:086,Section 9. Federal Government Finances and Employment,2007 Veterans Employability Research Survey,https://www.va.gov/vetdata/surveys.asp,,en-US,2007-01-01T00:00:00Z/2007-12-31T00:00:00Z,https://www1.va.gov/vetdata/docs/DataGov_Employability_Survey_Data_Elements.doc,https://www1.va.gov/vetdata/docs/VERS_FINAL_REPORT_2-8-08.pdf,,,,,,Dorothy Glasgow,mailto:VANCVAS@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,pdf,,pdf,https://www1.va.gov/VETDATA/docs/SurveysAndStudies/VERS_FINAL_REPORT_2-8-08.pdf,pdf,"Could not resolve host: www1.va.gov
",https://www.va.gov/VETDATA/docs/SurveysAndStudies/VERS_FINAL_REPORT_2-8-08.pdf
dcat:Dataset,public,029:00,TRUE,"The goal of the Department of Veterans Affairsï¿½ Vocational Rehabilitation and Employment (VR&amp;E) Program is to enable veterans to live independently, achieve the highest quality of life possible and, given advances in medical science and technology, to secure gainful employment. In 2004, an independent task force assessed the VR&amp;E program and concluded that approximately one-third of veterans enrolled in the program did not persist and complete the program.",VA-OEI-OEI-50,2017-07-26,employment; survey; veterans,https://creativecommons.org/publicdomain/zero/1.0/,2008-02-08,029:086,Socioeconomics,2007 Veterans Employability Research Survey,https://www.va.gov/vetdata/Surveys.asp,,en-US,2007-07-03T00:00:00Z/2007-11-06T00:00:00Z,,,,,,,,Tom Garin,mailto:tom.garin@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,pdf,,pdf,https://www.va.gov/vetdata/docs/SurveysAndStudies/VERS_FINAL_REPORT_2-8-08.pdf,pdf,Success: (200) OK,https://www.va.gov/vetdata/docs/SurveysAndStudies/VERS_FINAL_REPORT_2-8-08.pdf
dcat:Dataset,public,029:25,TRUE,"2007 Veteran life insurance expenditures by state and county.  Expenditures were derived from Insurance Actuarial reports that used the total Insurance program cash disbursed.  The total cash disbursed was prorated by in-force data by state, which was further prorated by county and congressional district.",VA-VBA-INS2007-001,2017-07-26,expenditure; insurance; veteran,https://creativecommons.org/publicdomain/zero/1.0/,2008-03-01,029:003,Section 9. Federal Government Finances and Employment,2007 Veterans&#039; Insurance Expenditure by State and Congressional District,https://www1.va.gov/VETDATA/docs/Datagov/FY_07_Insurance_Expenditure_by_CD_and_State.csv,R/P1Y,en-US,2007-01-01T00:00:00Z/2007-12-31T00:00:00Z,,https://www1.va.gov/VETDATA/docs/Datagov/FY_07_Insurance_Expenditure_by_CD_and_State.csv,VA-VBA-MASTER-INSURANCE-001,,,,,Dusca Fichtel,mailto:dusca.fichtel@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,csv,,csv,https://www1.va.gov/VETDATA/docs/Datagov/FY_07_Insurance_Expenditure_by_CD_and_State.csv,csv,"Could not resolve host: www1.va.gov
",https://www.va.gov/VETDATA/docs/Datagov/FY_07_Insurance_Expenditure_by_CD_and_State.csv
dcat:Dataset,public,029:25,TRUE,"2007 Veteran life insurance expenditures by state and county.  Expenditures were derived from Insurance Actuarial reports that used the total Insurance program cash disbursed.  The total cash disbursed was prorated by in-force data by state, which was further prorated by county and congressional district.",VA-VBA-INS2007-002,2017-07-26,expenditure; insurance; veteran,https://creativecommons.org/publicdomain/zero/1.0/,2008-03-01,029:003,Section 9. Federal Government Finances and Employment,2007 Veterans&#039; Insurance Expenditure by State and County,https://www1.va.gov/VETDATA/docs/Datagov/FY_07_Insurance_Expenditure_by_County_and_State.csv,R/P1Y,en-US,2007-01-01T00:00:00Z/2007-12-31T00:00:00Z,,https://www1.va.gov/VETDATA/docs/Datagov/FY_07_Insurance_Expenditure_by_County_and_State.csv,VA-VBA-MASTER-INSURANCE-001,,,,,Dusca Fichtel,mailto:dusca.fichtel@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,csv,,csv,https://www1.va.gov/VETDATA/docs/Datagov/FY_07_Insurance_Expenditure_by_County_and_State.csv,csv,"Could not resolve host: www1.va.gov
",https://www.va.gov/VETDATA/docs/Datagov/FY_07_Insurance_Expenditure_by_County_and_State.csv
dcat:Dataset,public,029:00,TRUE,2008 VA Performance and Accountability Report.,VA-OM-OM-009,2017-07-26,accountability; performance; report,https://creativecommons.org/publicdomain/zero/1.0/,2014-02-20,029:084,Financial,2008 VA Performance and Accountability Report,https://www.va.gov/budget/report/,R/P1Y,en-US,2008-01-01T00:00:00Z/2008-12-31T00:00:00Z,,,,,,,,David Zlowe,mailto:David.Zlowe@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,zip,,zip,https://www.va.gov/budget/docs/archive/FY-2008_VA-PerformanceAccountabilityReport.zip,zip,Success: (200) OK,https://www.va.gov/budget/docs/archive/FY-2008_VA-PerformanceAccountabilityReport.zip
